intent,remark
110.1,"Okay, let me let me talk with student for just a moment and I'll come back to you."
110.1,Let's hold on just a second.
110.1,"Keep your thoughts, just for a moment."
110.1,There you go.
110.1,Gotcha.
110.1,Thank you for clarifying that.
110.1,"Okay, that is the name of the small machine."
110.1,There you go.
110.1,Very good.
110.1,That is correct.
110.1,So that is the answer that we're looking for.
110.1,Thank you.
110.1,Good job.
110.1,Correct.
110.1,"I would, I would agree with that."
110.1,That's a good answer.
110.1,I think you're correct.
110.1,Great job.
110.1,Absolutely.
110.1,Thank you for sharing now.
110.1,Phenomenal.
110.1,That's good.
110.1,I'm proud of you.
110.1,"You're close, but not quite there."
110.1,You're almost there.
110.1,Oh good.
110.1,Great job.
110.1,"All of you guys, I appreciate all of you guys volunteered to read, and you've all done a very good job."
110.1,"student, you said it's a microscope."
110.1,"Okay so student, you said in one of your responses that scientists found craters full of water on the moon."
110.2,"So, you have to have those tanks to help you breathe."
110.2,So that was one equipment that they did use.
110.2,Scientists found craters full of water on the moon.
110.2,That is absolutely true.
110.2,"You guys said they use a scientific tool called a microscope, which answers the question."
110.2,Right.
110.2,"If you could use the water to grow things, you could have a garden on the moon, in the craters."
110.2,"Okay, so that could be one use of water."
110.2,I didn't say your answer was wrong.
110.2,"Your answer is not wrong, it's right, and there's another piece of equipment too."
110.2,"Yes, the small machine, and it is called the lunar orbiter."
110.2,"Yeah, they looked at it really close with the microscope."
110.2,"So, you weren't exactly wrong."
110.2,"Um, so yeah, good job."
110.3,So always remember that you have a lot of experience.
110.3,"Yeah, that's great."
110.3,That's a great connection you made.
110.3,I love that.
110.3,"Yeah, well, we always have a good background knowledge of space."
110.3,"I bet you could confirm that about his dad probably has told him too, right."
110.3,"Well, that's awesome."
110.3,"I'm sure they do, and I bet that you could probably tell you more and you can share that information together."
110.4,So the machine was the Lunar Orbiter.
110.4,I'm going to come back to you in just a moment.
110.4,Mhmm.
110.4,It's the lunar orbiter that they sent to look for the water.
110.4,It is very heavy.
120.1,Is that all they used.
120.1,Does that seem right to everyone.
120.1,Good.
120.1,Okay.
120.1,So I want you to read over that for a minute and see if anything sticks out that is believable is it convincing that water is a valuable resource.
120.1,So take a minute to do that.
120.1,"Yeah, and you also hit on that to do you have a question or a comment you wanted to add"
120.2,We're trying to figure out what equipment did scientists use to discover the water on the moon.
120.2,Does it say anything about the equipment that they used.
120.2,"Oh, no, no, it talks about the craters not the equipment, so we need to find the equipment that they used"
120.3,"So, can one of you, would one of you like to volunteer to read the first paragraph."
120.3,Would you like to read the second paragraph.
120.3,"Okay, so everybody look at your paper."
120.3,Let's look at paragraph two.
120.3,Can you just read that for me again.
120.3,Will you read it one more time for me.
120.3,So are any of you ready to dig deeper in the text and tell me another answer.
120.3,Look again at the text and see if you can find a better answer.
120.3,Can you please read the question again.
120.3,And again what was the question.
120.3,Take a look at the question for me.
120.3,"Paragraph two, I'm going to read and I want you to follow along."
120.3,"It says, NASA sent a small machine called a lunar Lunar Orbiter to investigate this lunar orbiter land at the moon South Pole and look for ice deposits in a large polar crater."
120.3,"OK, now I'm going to stop there."
120.4,Would you remind me of your answer again.
120.4,What are you thinking about the question.
120.4,Does anyone want to raise their hand and tell me what they think the action word is.
130.1,So a scientific tool called the microscope is a correct answer for looking at the water.
130.1,You've got a piece of it.
130.1,You're both partially right.
130.1,They used a small machine to investigate craters and a microscope to look closely at the water.
130.2,"Student, I want you to find the name of the machine for us."
130.2,Can you explain what discover'means.
130.2,She said a microscope is used to see things that are really small.
130.2,Why do you think the scientists would need to use the microscope to see the water.
130.2,"Yes, student."
130.2,"And she said, NASA sent a small machine."
130.2,Would anyone else like to build on his response.
130.2,"Right, you find something."
130.2,Do you agree with that everybody.
130.2,"Very good, student."
130.2,Does everybody else agree with her answer.
130.2,"student, would you agree with what she said."
